stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1101,1101,Trois Croix,Rennes,48.1272746,-1.68322628,,,0
1102,1102,Donelière,Rennes,48.13115995,-1.68458083,,,0
1103,1103,Saint-Laurent,Rennes,48.13880017,-1.65921311,,,0
1104,1104,Hôtel de Région,Rennes,48.13478815,-1.65854932,,,0
1105,1105,Héronière,Rennes,48.13555,-1.65569436,,,0
1106,1106,Gayeulles Piscine,Rennes,48.13436418,-1.65216944,,,0
1107,1107,Le Blizz,Rennes,48.13086934,-1.65210388,,,0
1108,1108,Gayeulles,Rennes,48.12838797,-1.652168,,,0
1109,1109,Joliot-Curie,Rennes,48.12565933,-1.65187375,,,0
1110,1110,Lycée Chateaubriand,Rennes,48.12415499,-1.65162006,,,0
1111,1111,Docteur Quentin,Rennes,48.12024278,-1.65071004,,,0
1112,1112,Vitré Danton,Rennes,48.11890008,-1.65092835,,,0
1113,1113,Jeanne d'Arc,Rennes,48.11635262,-1.65563088,,,0
1114,1114,Durafour,Rennes,48.11447379,-1.65800938,,,0
1115,1115,Oberthur,Rennes,48.11349726,-1.66127497,,,0
1116,1116,Saint-Vincent,Rennes,48.11274314,-1.6643851,,,0
1117,1117,Châteaudun,Rennes,48.11249213,-1.66685313,,,0
1118,1118,Thabor,Rennes,48.11175864,-1.67121493,,,0
1119,1119,Place Pasteur,Rennes,48.11054175,-1.67489145,,,0
1120,1120,République Jaurès,Rennes,48.10998229,-1.67785697,,,0
1121,1121,Charles de Gaulle,Rennes,48.10607067,-1.6777658,,,0
1122,1122,Gare Sud Féval,Rennes,48.10306416,-1.67682716,,,0
1123,1123,Ginguené,Rennes,48.09916061,-1.67570108,,,0
1124,1124,Jacques Cartier,Rennes,48.09733551,-1.67557993,,,0
1125,1125,Sacrés Coeurs,Rennes,48.09690529,-1.67914824,,,0
1126,1126,Garigliano,Rennes,48.09602989,-1.68166781,,,0
1127,1127,Frères Moines,Rennes,48.09306489,-1.68187605,,,0
1128,1128,Champs Manceaux,Rennes,48.09103622,-1.68211341,,,0
1129,1129,Suède,Rennes,48.08727486,-1.68239903,,,0
1130,1130,Canada,Rennes,48.08520713,-1.6824849,,,0
1131,1131,Bosphore,Rennes,48.08270511,-1.68238429,,,0
1132,1132,Alma,Rennes,48.08233466,-1.67787162,,,0
1133,1133,Bosphore,Rennes,48.08214018,-1.68253603,,,0
1134,1134,Canada,Rennes,48.08517813,-1.68230743,,,0
1135,1135,Suède,Rennes,48.08807548,-1.68221434,,,0
1136,1136,Champs Manceaux,Rennes,48.09113663,-1.68208194,,,0
1137,1137,Frères Moines,Rennes,48.09359701,-1.68186938,,,0
1138,1138,Garigliano,Rennes,48.09634749,-1.68161522,,,0
1139,1139,Sacrés Coeurs,Rennes,48.09695782,-1.67850697,,,0
1140,1140,Jacques Cartier,Rennes,48.0974129,-1.67476592,,,0
1141,1141,Ginguené,Rennes,48.09927814,-1.67561799,,,0
1142,1142,Gare Sud Féval,Rennes,48.10133802,-1.67625716,,,0
1143,1143,Charles de Gaulle,Rennes,48.10608092,-1.67760115,,,0
1144,1144,République Jaurès,Rennes,48.11006929,-1.67780478,,,0
1146,1146,Thabor,Rennes,48.11187283,-1.67113003,,,0
1147,1147,Saint-Vincent,Rennes,48.11271566,-1.66439614,,,0
1148,1148,Oberthur,Rennes,48.11341058,-1.66141539,,,0
1149,1149,Durafour,Rennes,48.114256,-1.65873929,,,0
1150,1150,Jeanne d'Arc,Rennes,48.11652806,-1.65552519,,,0
1151,1151,Vitré Danton,Rennes,48.11879169,-1.65161883,,,0
1152,1152,Docteur Quentin,Rennes,48.12043354,-1.65067299,,,0
1153,1153,Lycée Chateaubriand,Rennes,48.12443929,-1.651497,,,0
1154,1154,Joliot-Curie,Rennes,48.12608523,-1.65181703,,,0
1155,1155,Gayeulles,Rennes,48.12916578,-1.65210189,,,0
1156,1156,Le Blizz,Rennes,48.13185588,-1.65200229,,,0
1157,1157,Gayeulles Piscine,Rennes,48.13494543,-1.65205906,,,0
1158,1158,Héronière,Rennes,48.13553883,-1.6562051,,,0
1159,1159,Hôtel de Région,Rennes,48.13439404,-1.65875427,,,0
1160,1160,Tournebride,Rennes,48.11405936,-1.63721639,,,0
1161,1161,Plaine de Baud,Rennes,48.11231131,-1.64429105,,,0
1162,1162,Pont de Strasbourg,Rennes,48.1103356,-1.65597542,,,0
1163,1163,Robidou,Rennes,48.11033226,-1.66038997,,,0
1164,1164,Pont de Châteaudun,Rennes,48.11010638,-1.66677694,,,0
1165,1165,Paul Bert,Rennes,48.11006169,-1.67017835,,,0
1166,1166,Musée Beaux Arts,Rennes,48.10988328,-1.67512929,,,0
1167,1167,République Pré Botté,Rennes,48.10936738,-1.678658,,,0
1168,1168,République,Rennes,48.10980866,-1.67882417,,,0
1169,1169,Musée Beaux Arts,Rennes,48.10985334,-1.67452094,,,0
1170,1170,Paul Bert,Rennes,48.11003344,-1.66907214,,,0
1171,1171,Pont de Châteaudun,Rennes,48.11003759,-1.66487302,,,0
1172,1172,Robidou,Rennes,48.10982991,-1.65941692,,,0
1173,1173,Pont de Strasbourg,Rennes,48.11010843,-1.65620664,,,0
