1347
BUS;1_belvusj2;48.0797673;-1.7337416;Bellevue;bellevue
BUS;1_berger1;48.1167346;-1.7047729;Berger;berger
BUS;1_berger2;48.1167399;-1.7046388;Berger;berger
BUS;1_bernard;48.1387676;-1.6659572;Patton;patton
BUS;1_berry1;48.1184699;-1.7136781;Berry;berry
BUS;1_berry2;48.1185036;-1.713735;Berry;berry
BUS;1_bersand1;48.177113;-1.7263849;Bersandières;bersandieres
BUS;1_bert1;48.1100616;-1.6701783;Paul Bert;paulbert
BUS;1_bert2;48.1100334;-1.6690721;Paul Bert;paulbert
BUS;1_berthau1;48.1067348;-1.7291458;Berthault;berthault
BUS;1_berthau2;48.1064805;-1.7314381;Berthault;berthault
BUS;1_besnault;47.9999089;-1.6969679;Bois Esnault;boisesnault
BUS;1_besner1;48.1219393;-1.8461584;Besneraie;besneraie
BUS;1_besner2;48.1220313;-1.8462809;Besneraie;besneraie
BUS;1_bgstsul1;48.2179211;-1.5814225;Bourg;bourg
BUS;1_bgstsul2;48.217732;-1.5813974;Bourg;bourg
BUS;1_bignoch1;48.1785826;-1.7263642;Bignon;bignon
BUS;1_bignoch2;48.1784188;-1.7261919;Bignon;bignon
BUS;1_bignon1;48.0949932;-1.6379381;Cram (futur Carsat);cramfuturcarsat
BUS;1_bignon2;48.09445;-1.6379981;Cram (futur Carsat);cramfuturcarsat
BUS;1_bigopre1;48.0980242;-1.6670823;Bigot De Préameneu;bigotdepreameneu
BUS;1_bigopre2;48.0980217;-1.666463;Bigot De Préameneu;bigotdepréameneu
BUS;1_binquen1;48.0913399;-1.66629;Binquenais;binquenais
BUS;1_binquen2;48.0915933;-1.6674023;Binquenais;binquenais
BUS;1_blizz1;48.1308693;-1.6521038;Le Blizz;leblizz
BUS;1_blizz2;48.1318558;-1.6520022;Le Blizz;leblizz
BUS;1_bloisce;48.124625;-1.5914517;Base De Loisirs;basedeloisirs
BUS;1_blosne1;48.0832427;-1.7100494;Blosne;blosne
BUS;1_blosne2;48.0844069;-1.7092563;Blosne;blosne
BUS;1_boberil2;48.0837636;-1.693604;Boberil;boberil
BUS;1_bobinai1;48.0262899;-1.7344939;Bobinais;bobinais
BUS;1_bobinai2;48.0260947;-1.7345702;Bobinais;bobinais
BUS;1_bocage1;48.1589727;-1.5796307;Bocage;bocage
BUS;1_bocage2;48.1591688;-1.5797981;Bocage;bocage
BUS;1_boislab1;48.1253368;-1.7031293;Irts;irts
BUS;1_boislab2;48.1255915;-1.7030712;Irts;irts
BUS;1_boisper1;48.115482;-1.6484601;Bois Perrin;boisperrin
BUS;1_boisper2;48.1159528;-1.6484073;Bois Perrin;boisperrin
BUS;1_bordage1;48.1144147;-1.6004445;Bordage;bordage
BUS;1_bordage2;48.1143045;-1.6004841;Bordage;bordage
BUS;1_bospho1;48.0827051;-1.6823842;Bosphore;bosphore
BUS;1_bospho2;48.0821401;-1.682536;Bosphore;bosphore
BUS;1_boulai5;48.139094;-1.5587438;Boulais;boulais
BUS;1_boulai6;48.1390869;-1.5594769;Boulais;boulais
BUS;1_boulais1;48.1227994;-1.6108968;Boulais (futur Mare Pavée);boulaisfuturmarepavee
BUS;1_boulais2;48.1227655;-1.61084;Boulais (futur Mare Pavée);boulaisfuturmarepavée
BUS;1_boulais3;48.1233812;-1.6112304;Boulais (futur Mare Pavée);boulaisfuturmarepavée
BUS;1_bouleau1;48.1016302;-1.7945155;Bouleaux;bouleaux
BUS;1_bouleau2;48.101776;-1.794919;Bouleaux;bouleaux
BUS;1_boullac1;48.1235324;-1.6112839;Boulais (futur Mare Pavée);boulaisfuturmarepavée
BUS;1_bourdon1;48.1205024;-1.7097399;Bourbonnais;bourbonnais
BUS;1_bourdon2;48.1206267;-1.7104645;Bourbonnais;bourbonnais
BUS;1_bourgog1;48.0891452;-1.6125755;Bourgogne;bourgogne
BUS;1_bourgog2;48.0882819;-1.6123651;Bourgogne;bourgogne
BUS;1_bourgue1;48.089494;-1.6354373;Bourgueil;bourgueil
BUS;1_bourgue2;48.0894316;-1.6354184;Bourgueil;bourgueil
BUS;1_bourian1;48.126936;-1.6198883;Bouriande;bouriande
BUS;1_bourian2;48.1268255;-1.6199459;Bouriande;bouriande
BUS;1_bouvrai1;48.0702406;-1.928997;Bouvrais;bouvrais
BUS;1_bouvrai2;48.0700213;-1.9302549;Bouvrais;bouvrais
BUS;1_bouzat1;48.128266;-1.6376561;Bouzat;bouzat
BUS;1_bouzat2;48.1282633;-1.6372654;Bouzat;bouzat
BUS;1_brassen1;48.0989712;-1.7969389;Brassens;brassens
BUS;1_brassen2;48.0993952;-1.7967083;Brassens;brassens
BUS;1_bray2;48.1060663;-1.625694;Erbonière;erboniere
BUS;1_brayno1;48.0290801;-1.6597993;Bray;bray
BUS;1_brayno2;48.0286404;-1.6597921;Bray;bray
BUS;1_brecean;48.1097509;-1.4809723;Anjou;anjou
BUS;1_breil1;48.0981304;-1.6229601;Breil (futur Breillou);breilfuturbreillou
BUS;1_breil2;48.0982841;-1.6227923;Breil (futur Breillou);breilfuturbreillou
BUS;1_brest1;48.1133458;-1.6934599;Brest Verdun;brestverdun
BUS;1_brest2;48.1130964;-1.6933839;Brest Verdun;brestverdun
BUS;1_bretoni3;48.0592709;-1.6165979;Bretonnière;bretonniere
BUS;1_bretoni4;48.0590252;-1.6166572;Bretonnière;bretonnière
BUS;1_brizeux1;48.118305;-1.6712034;Fac De Droit;facdedroit
BUS;1_brizeux2;48.1183197;-1.669697;Fac De Droit;facdedroit
BUS;1_brno1;48.126679;-1.6652929;Gros Chêne;groschene
BUS;1_brno2;48.1270046;-1.665039;Gros Chêne;groschêne
BUS;1_broceli1;48.1807215;-1.6519371;Brocéliande;broceliande
BUS;1_broceli2;48.1805791;-1.652229;Brocéliande;brocéliande
BUS;1_broscha1;48.1767489;-1.7220963;La Brosse;labrosse
BUS;1_broscha2;48.1769275;-1.722015;La Brosse;labrosse
BUS;1_broscin1;48.1024474;-1.8323031;La Brosse (futur Noë Diole);labrossefuturnoediole
BUS;1_broscin2;48.1024446;-1.8310511;La Brosse (futur Noë Diole);labrossefuturnoëdiole
BUS;1_buhoti1;48.078105;-1.732261;Buhotière;buhotiere
BUS;1_buhoti2;48.0781621;-1.7321854;Buhotière;buhotière
BUS;1_callorn1;48.0423253;-1.712032;Callouët;callouet
BUS;1_callpot2;48.042013;-1.7110581;Callouët;callouët
